,House_price,CPI,GDP,Gov_exp,Population
House_price,1.0,0.9206727661715742,0.9559567421835878,0.7884923844034815,0.9037352052746697
CPI,0.9206727661715742,1.0,0.98702006160792,0.8412994941581374,0.9913398605274553
GDP,0.9559567421835878,0.98702006160792,1.0,0.8381354011327717,0.9828413324803955
Gov_exp,0.7884923844034815,0.8412994941581374,0.8381354011327717,1.0,0.8435188320482121
Population,0.9037352052746697,0.9913398605274553,0.9828413324803955,0.8435188320482121,1.0
