,House_price,CPI,GDP,Gov_exp,Population
House_price,0.0,1.541944162849869e-38,1.067753454731705e-49,1.0606628425537835e-20,6.38042518846397e-35
CPI,1.541944162849869e-38,0.0,2.7895318779233802e-73,8.981673874816399e-26,3.779805034463353e-81
GDP,1.067753454731705e-49,2.7895318779233802e-73,0.0,2.028349061466875e-25,7.255735445341353e-68
Gov_exp,1.0606628425537835e-20,8.981673874816399e-26,2.028349061466875e-25,0.0,5.018321737725535e-26
Population,6.38042518846397e-35,3.779805034463353e-81,7.255735445341353e-68,5.018321737725535e-26,0.0
